"Institution","Major","Avg Debt","Avg Payment","Salary 1 Yr","Salary 4 Yr","Projected Salary 10 Yr"
"Alabama A & M University","Liberal Arts and Sciences, General Studies and Humanities",29226,329,25580,39750,62777
"Alabama A & M University","Criminal Justice and Corrections",32241,323,28255,41331,61191
"University of Alabama at Birmingham","Communication and Media Studies",22131,226,28126,40729,59656
"University of Alabama at Birmingham","Teacher Education and Professional Development, Specific Subject Areas",22612,239,35244,38487,42056
"University of Alabama at Birmingham","Mechanical Engineering",22246,215,63807,78456,96812
"University of Alabama at Birmingham","English Language and Literature, General",22103,237,28449,40560,58436
"University of Alabama at Birmingham","Liberal Arts and Sciences, General Studies and Humanities",22633,229,31948,41150,53286
"University of Alabama at Birmingham","Biology, General",21117,225,27644,40480,59999
"University of Alabama at Birmingham","Mathematics",25837,250,41013,46880,53666
"University of Alabama at Birmingham","Psychology, General",22246,232,27980,37691,51149
"University of Alabama at Birmingham","Criminal Justice and Corrections",23048,228,34064,44301,57947
"University of Alabama at Birmingham","Social Work",25689,265,35015,40627,47225
"University of Alabama at Birmingham","Political Science and Government",21263,207,29768,52157,93808
"University of Alabama at Birmingham","Sociology",25538,281,28132,34832,43292
"University of Alabama at Birmingham","Fine and Studio Arts",22270,248,29317,34829,41480
"University of Alabama at Birmingham","Health and Medical Administrative Services",25422,266,33413,51637,81070
"University of Alabama at Birmingham","Public Health",22870,265,29615,41267,58033
"University of Alabama at Birmingham","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",19288,191,57952,66727,76958
"University of Alabama at Birmingham","Business Administration, Management and Operations",24767,254,44191,56415,72379
"University of Alabama at Birmingham","Accounting and Related Services",27840,286,47734,53666,60404
"University of Alabama at Birmingham","Management Information Systems and Services",27156,276,51960,62629,75708
"University of Alabama at Birmingham","Marketing",23437,234,38943,47757,58769
"University of Alabama in Huntsville","Computer and Information Sciences, General",21312,217,69975,76810,84374
"University of Alabama in Huntsville","Electrical, Electronics and Communications Engineering",21498,235,74766,85408,97709
"University of Alabama in Huntsville","Mechanical Engineering",23025,240,67793,83433,103050
"University of Alabama in Huntsville","Biology, General",21051,209,27870,43133,67823
"University of Alabama in Huntsville","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",21956,222,54216,57022,59986
"University of Alabama in Huntsville","Business Administration, Management and Operations",19638,196,38740,55070,79094
"University of Alabama in Huntsville","Accounting and Related Services",21164,223,43550,69175,111854
"University of Alabama in Huntsville","Management Information Systems and Services",21277,213,56826,75743,101654
"Alabama State University","Information Science/Studies",33690,345,25510,44692,80373
"Alabama State University","Teacher Education and Professional Development, Specific Levels and Methods",34963,342,37415,38533,39687
"Alabama State University","Rehabilitation and Therapeutic Professions",34973,347,23389,37793,62249
"Alabama State University","Business Administration, Management and Operations",35465,331,30500,43995,64174
"The University of Alabama","Public Relations, Advertising, and Applied Communication",21602,264,40169,54063,73300
"The University of Alabama","Special Education and Teaching",22992,270,41212,45349,49939
"The University of Alabama","Teacher Education and Professional Development, Specific Subject Areas",22293,252,31031,47390,73462
"The University of Alabama","Aerospace, Aeronautical and Astronautical Engineering",23911,284,67496,80428,96083
"The University of Alabama","Chemical Engineering",20384,240,70928,86590,106062
"The University of Alabama","Civil Engineering",22930,265,65921,78604,93969
"The University of Alabama","Electrical, Electronics and Communications Engineering",23154,252,72778,96527,128879
"The University of Alabama","Mechanical Engineering",22186,255,70428,83433,99076
"The University of Alabama","Family and Consumer Sciences/Human Sciences, General",22556,239,34370,41357,49907
"The University of Alabama","Family and Consumer Economics and Related Studies",22306,238,42032,50044,59735
"The University of Alabama","Apparel and Textiles",22855,265,33133,43877,58488
"The University of Alabama","Multi-/Interdisciplinary Studies, General",25858,283,35384,45329,58367
"The University of Alabama","Criminal Justice and Corrections",22748,246,34620,46119,61860
"The University of Alabama","Geography and Cartography",22440,209,40478,55745,77428
"The University of Alabama","Political Science and Government",20460,246,27669,50056,93243
"The University of Alabama","Fine and Studio Arts",22207,236,26125,36075,50249
"The University of Alabama","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",20249,212,62126,65351,68758
"The University of Alabama","Business Administration, Management and Operations",22908,246,45734,57872,73570
"The University of Alabama","Accounting and Related Services",20541,235,51977,68159,89928
"The University of Alabama","Finance and Financial Management Services",20823,246,52668,72138,99623
"The University of Alabama","Management Sciences and Quantitative Methods",21282,246,52411,73219,103245
"The University of Alabama","Marketing",20247,228,47561,65054,89711
"The University of Alabama","History",19875,218,30296,47167,74641
"Athens State University","Computer and Information Sciences, General",21939,241,71933,84779,100144
"Athens State University","Teacher Education and Professional Development, Specific Levels and Methods",19730,191,35848,40525,45870
"Athens State University","Teacher Education and Professional Development, Specific Subject Areas",24141,237,37445,44003,51822
"Athens State University","English Language and Literature, General",20224,194,33536,39139,45769
"Athens State University","Liberal Arts and Sciences, General Studies and Humanities",20866,221,46151,40020,40020
"Athens State University","Business Administration, Management and Operations",22207,221,48329,53197,58600
"Athens State University","Accounting and Related Services",22165,234,45091,53691,64094
"Athens State University","Human Resources Management and Services",23682,243,40851,49341,59773
"Athens State University","Business, Management, Marketing, and Related Support Services, Other",23380,215,54491,62228,71168
"Auburn University at Montgomery","Communication and Media Studies",26547,281,26692,35577,47747
"Auburn University at Montgomery","Teacher Education and Professional Development, Specific Levels and Methods",28549,286,38025,41969,46360
"Auburn University at Montgomery","Biology, General",26757,281,28465,41273,60536
"Auburn University at Montgomery","Health and Physical Education/Fitness",26449,270,34540,48465,68657
"Auburn University at Montgomery","Psychology, General",25206,267,29249,40311,56035
"Auburn University at Montgomery","Criminal Justice and Corrections",24828,259,37369,47219,59938
"Auburn University at Montgomery","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",19977,183,58954,65957,73869
"Auburn University","Agricultural Business and Management",19969,217,46234,56984,70490
"Auburn University","Plant Sciences",20946,188,39008,48747,61170
"Auburn University","Journalism",18630,204,35459,46832,62253
"Auburn University","Computer and Information Sciences, General",22816,265,66773,87874,116372
"Auburn University","Special Education and Teaching",21239,233,37765,45087,53970
"Auburn University","Teacher Education and Professional Development, Specific Levels and Methods",20379,230,39135,43311,47974
"Auburn University","Aerospace, Aeronautical and Astronautical Engineering",19699,216,62615,87182,122501
